patch,median_move_vox,meijering_snap,meijering_random,raw_ct_snap,raw_ct_random,medial_points
s4_z8704_y1792_x2304,3.091,0.1379,0.0069,0.0803,0.0005,5757
s1_z192_y2112_x3264,3.09,0.1754,0.0221,0.1235,0.0096,4614
s4_z1792_y768_x1536,3.089,0.1057,0.0008,0.0508,-0.002,7372
s1_z1152_y2880_x3072,3.088,0.1949,0.0253,0.124,0.01,2755
s4_z4352_y2304_x1024,3.088,0.1592,0.004,0.0761,-0.0024,3606
s4_z2304_y2304_x1280,3.086,0.102,0.0006,0.0626,-0.0001,4730
s1_z576_y2880_x3840,3.085,0.2188,0.0292,0.0999,0.0056,2334
s4_z9728_y1536_x2048,3.083,0.1527,0.0117,0.0768,-0.0013,5269
s1_z2112_y2304_x4992,3.079,0.1857,0.021,0.1148,0.0076,1985
s1_z6720_y3456_x4608,3.075,0.1726,0.0134,0.0891,0.0023,2041
s1_z9472_y2560_x2816,3.069,0.2011,0.0147,0.1136,0.0038,9675
s1_z5760_y2880_x3072,3.068,0.1613,0.0069,0.0968,0.0007,2305
s1_z6720_y4032_x3840,3.067,0.1622,0.0136,0.0974,0.0034,3441
s1_z7936_y3072_x4352,3.063,0.1615,0.0222,0.1146,0.0131,8479
s1_z384_y2496_x4800,3.062,0.1862,0.0365,0.1139,0.0133,4263
s1_z576_y2688_x3264,3.06,0.1712,0.0229,0.085,0.0064,3362
s1_z6336_y3264_x4800,3.06,0.1608,0.0246,0.1132,0.0098,2244
s1_z10240_y4160_x3200,3.059,0.1936,0.0254,0.1138,0.0082,11350
s1_z10240_y3200_x3840,3.055,0.1818,0.0248,0.0903,0.005,13607
s1_z1536_y1920_x4608,3.055,0.2123,0.029,0.1254,0.0001,2833
s4_z2816_y1024_x1024,3.049,0.1051,0.0026,0.0528,0.0012,7421
s1_z7424_y3072_x4352,3.044,0.1906,0.0103,0.1038,-0.0018,6498
s1_z4608_y2304_x4992,3.043,0.1694,0.0275,0.1047,0.0112,2011
s4_z5376_y1792_x2560,3.043,0.0919,0.0053,0.0471,-0.0011,4663
s1_z9600_y4160_x3520,3.042,0.1726,0.0215,0.095,0.0033,16206
s1_z12480_y4800_x3200,3.038,0.1616,0.0121,0.0819,0.0014,17294
